club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,Year
1. FC Köln,Kim Christofte,31.0,Denmark,Left-Back,LB,,Bröndby IF,Denmark,135000.0,in,summer,1 Bundesliga,1992,False,,1992
1. FC Köln,Dirk Lehmann,20.0,Germany,Attacking Midfield,AM,,A. Aachen II,Germany,15000.0,in,summer,1 Bundesliga,1992,False,,1992
1. FC Köln,Roger Nilsen,22.0,Norway,Centre-Back,CB,,Viking FK,Norway,0.0,in,summer,1 Bundesliga,1992,True,free loan,1992
1. FC Köln,Reinhold Daschner,22.0,Germany,Sweeper,SW,,Hannover 96,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
1. FC Köln,Pierre Littbarski,33.0,Germany,Attacking Midfield,AM,,JEF Utd. Chiba,Japan,,out,summer,1 Bundesliga,1992,False,,1992
1. FC Köln,Falko Götz,30.0,Germany,Attacking Midfield,AM,,Galatasaray,Turkey,,out,summer,1 Bundesliga,1992,False,,1992
1. FC Köln,Peter Müller,22.0,Germany,midfield,midfield,,FC 08 Homburg,Germany,,out,summer,1 Bundesliga,1992,False,,1992
1. FC Köln,Hans-Georg Dreßen,27.0,Germany,midfield,midfield,,Retired,,,out,summer,1 Bundesliga,1992,False,,1992
1. FC Köln,Andrzej Kobylanski,22.0,Poland,Left Midfield,LM,,Siarka T.,Poland,300000.0,in,winter,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Marcus Marin,25.0,Germany,Centre-Forward,CF,,Stuttg. Kickers,Germany,720000.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Martin Wagner,24.0,Germany,Left Midfield,LM,,1.FC Nuremberg,Germany,500000.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Thomas Hengen,17.0,Germany,Sweeper,SW,,Phönix Bellheim,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Thomas Ritter,24.0,Germany,Centre-Back,CB,,Stuttg. Kickers,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Michael Zeyer,24.0,Germany,Central Midfield,CM,,SC Freiburg,Germany,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Jan Eriksson,24.0,Sweden,Centre-Back,CB,,Norrköping,Sweden,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Markus Kranz,22.0,Germany,Left-Back,LB,,Bay. Uerdingen,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Jürgen Degen,24.0,Germany,Centre-Forward,CF,,F. Düsseldorf,Germany,0.0,out,summer,1 Bundesliga,1992,True,free loan,1992
1.FC Kaiserslautern,Uwe Scherr,25.0,Germany,Right Midfield,RM,,FC Schalke 04,Germany,,out,summer,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Guido Hoffmann,26.0,Germany,Attacking Midfield,AM,,Bay. Leverkusen,Germany,0.0,out,summer,1 Bundesliga,1992,True,free loan,1992
1.FC Kaiserslautern,Reinhard Stumpf,30.0,Germany,Centre-Back,CB,,Galatasaray,Turkey,,out,summer,1 Bundesliga,1992,False,,1992
1.FC Kaiserslautern,Bernhard Winkler,26.0,Germany,Centre-Forward,CF,,SC Fortuna Köln,Germany,0.0,out,winter,1 Bundesliga,1992,True,free loan,1992
1.FC Nuremberg,Percy Olivares,24.0,Peru,Left-Back,LB,,Sport. Cristal,Peru,750000.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Uwe Rösler,23.0,Germany,Centre-Forward,CF,,Dynamo Dresden,Germany,600000.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Jürgen Kramny,20.0,Germany,Right Midfield,RM,,VfB Stuttgart,Germany,0.0,in,summer,1 Bundesliga,1992,True,free loan,1992
1.FC Nuremberg,Sergio Bustos,19.0,Argentina,Attacking Midfield,AM,,Racing Club,Argentina,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Thomas Weissenberger,21.0,Austria,Right Winger,RW,,Spittal/Drau,Austria,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Reinhold Hintermaier,36.0,Austria,Sweeper,SW,,Career break,,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,André Golke,27.0,Germany,Attacking Midfield,AM,,VfB Stuttgart,Germany,1250000.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Martin Wagner,24.0,Germany,Left Midfield,LM,,1.FC K'lautern,Germany,500000.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Sergio Zárate,23.0,Argentina,Centre-Forward,CF,,Ancona,Italy,350000.0,out,summer,1 Bundesliga,1992,True,loan with fee,1992
1.FC Nuremberg,Hans-Jürgen Heidenreich,24.0,Germany,Right-Back,RB,,VfB Leipzig,Germany,175000.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Joachim Philipkowski,31.0,Germany,Sweeper,SW,,FC St. Pauli,Germany,128000.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Günter Drews,24.0,Germany,midfield,midfield,,AC Bellinzona,Switzerland,0.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Andreas Schöll,22.0,Germany,Attacking Midfield,AM,,Vestenbergsgr.,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Uwe Weidemann,29.0,Germany,Attacking Midfield,AM,,Waldh. Mannheim,Germany,0.0,out,summer,1 Bundesliga,1992,True,free loan,1992
1.FC Nuremberg,Dr. Reiner Wirsching,29.0,Germany,Centre-Forward,CF,,Schweinfurt 05,Germany,,out,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Michael Butrej,24.0,Germany,Left Midfield,LM,,E. Braunschweig,Germany,,out,summer,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Manfred Schwabl,26.0,Germany,Defensive Midfield,DM,,FC Bayern,Germany,0.0,in,winter,1 Bundesliga,1992,True,free loan,1992
1.FC Nuremberg,Jens Krinke,20.0,Germany,midfield,midfield,,Neukirchen/Röll,Germany,0.0,out,winter,1 Bundesliga,1992,False,,1992
1.FC Nuremberg,Percy Olivares,24.0,Peru,Left-Back,LB,,Sport. Cristal,Peru,0.0,out,winter,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Thomas Stratos,25.0,Greece,Defensive Midfield,DM,,Hamburger SV,Germany,150000.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Matthias Lust,22.0,Germany,Left Midfield,LM,,Waldh. Mannheim,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Henning Bürger,22.0,Germany,Left Midfield,LM,,FC Schalke 04,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Michael Hennig,20.0,Germany,midfield,midfield,,FC Berlin,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Thomas Stickroth,27.0,Germany,Right-Back,RB,,St. Mirren,Scotland,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Eric Wynalda,23.0,United States,Centre-Forward,CF,,SF Bay Blackhawks,United States,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Yuri Savichev,27.0,Russia,Centre-Forward,CF,,Olympiacos,Greece,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Wolfram Wuttke,30.0,Germany,Second Striker,SS,,Espanyol,Spain,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Arno Glesius,26.0,Germany,Centre-Forward,CF,,Karlsruher SC,Germany,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Ralf Scherer,28.0,Germany,Defensive Midfield,DM,,SV Saar 05,Germany,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Stephan Beckenbauer,23.0,Germany,Defensive Midfield,DM,,FC Grenchen,Switzerland,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Patrick Klyk,16.0,Germany,midfield,midfield,,FV 08 Püttlingen,Germany,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Malik Badji,24.0,Germany,defence,defence,,CS Sedan,France,,in,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Stefan Brasas,24.0,Germany,Goalkeeper,GK,,Stuttg. Kickers,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Jonathan Akpoborie,23.0,Nigeria,Centre-Forward,CF,,Carl Zeiss Jena,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Michael Preetz,24.0,Germany,Centre-Forward,CF,,MSV Duisburg,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Axel Schwarz,26.0,Germany,midfield,midfield,,Quierschied,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Markus Osthoff,23.0,Germany,Left Winger,LW,,Eintracht Trier,Germany,,out,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Christiaan Pförtner,26.0,Germany,Central Midfield,CM,,FC 08 Homburg,Germany,,out,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Heikko Glöde,30.0,Germany,attack,attack,,FC Remscheid,Germany,,out,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Michael Nushöhr,29.0,Germany,Left-Back,LB,,FC Balzers,Liechtenstein,,out,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Brian Skaarup,19.0,Denmark,Attacking Midfield,AM,,Odense BK,Denmark,,out,summer,1 Bundesliga,1992,False,,1992
1.FC Saarbrücken,Nasko Zhelev,32.0,Bulgaria,defence,defence,,FC 08 Homburg,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Bayer 04 Leverkusen,Pavel Hapal,22.0,Czech Republic,Attacking Midfield,AM,,Sigma Olomouc,Czech Republic,1250000.0,in,summer,1 Bundesliga,1992,False,,1992
Bayer 04 Leverkusen,Heiko Scholz,26.0,Germany,Right Midfield,RM,,Dynamo Dresden,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
Bayer 04 Leverkusen,Mario Tolkmitt,21.0,Germany,Left Midfield,LM,,FC Berlin,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Bayer 04 Leverkusen,Guido Hoffmann,26.0,Germany,Attacking Midfield,AM,,1.FC K'lautern,Germany,0.0,in,summer,1 Bundesliga,1992,True,free loan,1992
Bayer 04 Leverkusen,Jorginho,27.0,Brazil,Right-Back,RB,,FC Bayern,Germany,2800000.0,out,summer,1 Bundesliga,1992,False,,1992
Bayer 04 Leverkusen,Marcus Feinbier,22.0,Germany,Centre-Forward,CF,,Hertha BSC,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
Bayer 04 Leverkusen,Marek Lesniak,28.0,Poland,Centre-Forward,CF,,Wattenscheid 09,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
Bayer 04 Leverkusen,Frank Germann,24.0,Germany,Centre-Back,CB,,Arm. Bielefeld,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Bayer 04 Leverkusen,Erich Seckler,28.0,Germany,defence,defence,,Hertha BSC,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Bayer 04 Leverkusen,Andrzej Buncol,32.0,Poland,Attacking Midfield,AM,,F. Düsseldorf,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Dirk Bremser,26.0,Germany,Right Midfield,RM,,MSV Duisburg,Germany,375000.0,in,summer,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Mario Posch,24.0,Austria,Right-Back,RB,,FC Tirol,Austria,300000.0,in,summer,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Markus Kranz,22.0,Germany,Left-Back,LB,,1.FC K'lautern,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Zeljko Dakic,25.0,Serbia,Centre-Forward,CF,,Vojvodina,Serbia,0.0,in,summer,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Sergey Gorlukovich,30.0,Russia,Centre-Back,CB,,Bor. Dortmund,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Torsten Chmielewski,24.0,Germany,Left-Back,LB,,Arm. Bielefeld,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Robert Holzer,25.0,Germany,Sweeper,SW,,SC Fortuna Köln,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Daniel Timofte,24.0,Romania,Attacking Midfield,AM,,Dinamo,Romania,,out,summer,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Uwe Hartenberger,24.0,Germany,attack,attack,,SV Darmstadt 98,Germany,,out,winter,1 Bundesliga,1992,False,,1992
Bayer 05 Uerdingen,Markus Bayertz,21.0,Germany,Left Midfield,LM,,RW Oberhausen,Germany,,out,winter,1 Bundesliga,1992,False,,1992
Bayern Munich,Thomas Helmer,27.0,Germany,Centre-Back,CB,,Bor. Dortmund,Germany,3750000.0,in,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Jorginho,27.0,Brazil,Right-Back,RB,,Bay. Leverkusen,Germany,2800000.0,in,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Mehmet Scholl,21.0,Germany,Attacking Midfield,AM,,Karlsruher SC,Germany,2500000.0,in,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Lothar Matthäus,31.0,Germany,Defensive Midfield,DM,,Inter,Italy,2000000.0,in,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Markus Schupp,26.0,Germany,Attacking Midfield,AM,,Wattenscheid 09,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Dieter Frey,19.0,Germany,Right-Back,RB,,FC Augsburg,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Brian Laudrup,23.0,Denmark,Right Winger,RW,,Fiorentina,Italy,5000000.0,out,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Stefan Effenberg,23.0,Germany,Central Midfield,CM,,Fiorentina,Italy,3750000.0,out,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Manfred Bender,26.0,Germany,Attacking Midfield,AM,,Karlsruher SC,Germany,700000.0,out,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Thomas Strunz,24.0,Germany,Defensive Midfield,DM,,VfB Stuttgart,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Markus Babbel,19.0,Germany,Centre-Back,CB,,Hamburger SV,Germany,0.0,out,summer,1 Bundesliga,1992,True,free loan,1992
Bayern Munich,Gerald Hillringhaus,30.0,Germany,Goalkeeper,GK,,FC Schalke 04,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Toni Schumacher,38.0,Germany,Goalkeeper,GK,,Retired,,,out,summer,1 Bundesliga,1992,False,,1992
Bayern Munich,Manfred Schwabl,26.0,Germany,Defensive Midfield,DM,,1.FC Nuremberg,Germany,0.0,out,winter,1 Bundesliga,1992,True,free loan,1992
Borussia Dortmund,Stefan Reuter,25.0,Germany,Right Midfield,RM,,Juventus,Italy,2100000.0,in,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,René Tretschok,23.0,Germany,Defensive Midfield,DM,,Hallescher FC,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Ned Zelic,20.0,Australia,Defensive Midfield,DM,,Sydney Olympic,Australia,,in,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Lothar Sippel,27.0,Germany,Centre-Forward,CF,,E. Frankfurt,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Christof Osigus,19.0,Germany,Goalkeeper,GK,,FC Schalke 04,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Stefan Thiele,18.0,Germany,attack,attack,,FC Schalke 04,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Thomas Helmer,27.0,Germany,Centre-Back,CB,,FC Bayern,Germany,3750000.0,out,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Peter Quallo,20.0,Germany,Centre-Back,CB,,F. Düsseldorf,Germany,1000000.0,out,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Günter Breitzke,25.0,Germany,Right Midfield,RM,,F. Düsseldorf,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Dirk Hofmann,23.0,Germany,midfield,midfield,,VfL Osnabrück,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Sergey Gorlukovich,30.0,Russia,Centre-Back,CB,,Bay. Uerdingen,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Matthias Sammer,25.0,Germany,Sweeper,SW,,Inter,Italy,4250000.0,in,winter,1 Bundesliga,1992,False,,1992
Borussia Dortmund,Jürgen Wegmann,28.0,Germany,Centre-Forward,CF,,MSV Duisburg,Germany,,out,winter,1 Bundesliga,1992,False,,1992
Borussia Mönchengladbach,Dimo Wache,18.0,Germany,Goalkeeper,GK,,Leverkusen U19,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
Borussia Mönchengladbach,Stefan Ertl,23.0,Germany,Centre-Forward,CF,,SV Geinsheim,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
Borussia Mönchengladbach,Peter Nielsen,24.0,Denmark,Attacking Midfield,AM,,Lyngby FC,Denmark,,in,summer,1 Bundesliga,1992,False,,1992
Borussia Mönchengladbach,Christian Hock,22.0,Germany,Left Midfield,LM,,Aschaffenburg,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Borussia Mönchengladbach,Johnny Mölby,23.0,Denmark,Central Midfield,CM,,FC Nantes,France,,in,summer,1 Bundesliga,1992,False,,1992
Borussia Mönchengladbach,Manfred Stefes,25.0,Germany,defence,defence,,F. Düsseldorf,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Borussia Mönchengladbach,Thomas Huschbeck,24.0,Germany,defence,defence,,F. Düsseldorf,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Borussia Mönchengladbach,Norbert Meier,33.0,Germany,Attacking Midfield,AM,,Retired,,,out,summer,1 Bundesliga,1992,False,,1992
Eintracht Frankfurt,Marek Penksa,18.0,Slovakia,Right Winger,RW,,Banska Bystrica,Slovakia,,in,summer,1 Bundesliga,1992,False,,1992
Eintracht Frankfurt,Uwe Rahn,30.0,Germany,Centre-Forward,CF,,F. Düsseldorf,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Eintracht Frankfurt,Rudi Bommer,34.0,Germany,Defensive Midfield,DM,,Aschaffenburg,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Eintracht Frankfurt,Andreas Möller,24.0,Germany,Attacking Midfield,AM,,Juventus,Italy,0.0,out,summer,1 Bundesliga,1992,False,,1992
Eintracht Frankfurt,Lothar Sippel,27.0,Germany,Centre-Forward,CF,,Bor. Dortmund,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Eintracht Frankfurt,Thomas Lasser,22.0,Germany,Defensive Midfield,DM,,Waldh. Mannheim,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Eintracht Frankfurt,Dariusz Adamczuk,23.0,Poland,Defensive Midfield,DM,,Pogon Szczecin,Poland,375000.0,in,winter,1 Bundesliga,1992,False,,1992
Eintracht Frankfurt,Kakhaber Tskhadadze,24.0,Georgia,Centre-Back,CB,,Dinamo Moscow,Russia,,in,winter,1 Bundesliga,1992,False,,1992
FC Schalke 04,Antoine Hey,21.0,Germany,Right Midfield,RM,,F. Düsseldorf,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Thomas Linke,22.0,Germany,Centre-Back,CB,,Rot-Weiß Erfurt,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Mike Büskens,24.0,Germany,Left Midfield,LM,,F. Düsseldorf,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Gerald Hillringhaus,30.0,Germany,Goalkeeper,GK,,FC Bayern,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Martin Spanring,22.0,Germany,Centre-Back,CB,,F. Düsseldorf,Germany,,in,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Uwe Scherr,25.0,Germany,Right Midfield,RM,,1.FC K'lautern,Germany,,in,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Henning Bürger,22.0,Germany,Left Midfield,LM,,Saarbrücken,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Michael Kroninger,25.0,Germany,attack,attack,,1860 Munich,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Egon Flad,28.0,Germany,midfield,midfield,,TeBe Berlin,Germany,,out,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Jürgen Welp,32.0,Germany,Goalkeeper,GK,,Beckumer SV,Germany,,out,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Christof Osigus,19.0,Germany,Goalkeeper,GK,,Bor. Dortmund,Germany,,out,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Stefan Thiele,18.0,Germany,attack,attack,,Bor. Dortmund,Germany,,out,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Sascha Jusufi,29.0,Germany,midfield,midfield,,Retired,,,out,summer,1 Bundesliga,1992,False,,1992
FC Schalke 04,Dietmar Schacht,29.0,Germany,defence,defence,,Retired,,,out,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Yordan Lechkov,24.0,Bulgaria,Central Midfield,CM,,CSKA Sofia,Bulgaria,450000.0,in,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Pavel Dotchev,26.0,Bulgaria,Sweeper,SW,,CSKA Sofia,Bulgaria,200000.0,in,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Marinus Bester,23.0,Germany,Centre-Forward,CF,,Werder Bremen,Germany,0.0,in,summer,1 Bundesliga,1992,True,free loan,1992
Hamburger SV,Markus Babbel,19.0,Germany,Centre-Back,CB,,FC Bayern,Germany,0.0,in,summer,1 Bundesliga,1992,True,free loan,1992
Hamburger SV,Karsten Bäron,19.0,Germany,Centre-Forward,CF,,H. Zehlendorf,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Thomas Lässig,20.0,Germany,Defensive Midfield,DM,,Hansa Rostock,Germany,0.0,in,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Michael Spies,26.0,Germany,Attacking Midfield,AM,,Hansa Rostock,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Florian Weichert,24.0,Germany,Centre-Forward,CF,,Hansa Rostock,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Peter Woodring,24.0,United States,Centre-Forward,CF,,SV Wehen,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Uwe Bormann,22.0,Germany,midfield,midfield,,VfR Langelsheim,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Dietmar Beiersdorfer,28.0,Germany,Centre-Back,CB,,Werder Bremen,Germany,1000000.0,out,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Thomas Stratos,25.0,Greece,Defensive Midfield,DM,,Saarbrücken,Germany,150000.0,out,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Detlev Dammeier,23.0,Germany,Defensive Midfield,DM,,VfL Wolfsburg,Germany,0.0,out,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Nando,25.0,Brazil,Centre-Forward,CF,,Internacional,Brazil,0.0,out,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Holger Ballwanz,24.0,Germany,Defensive Midfield,DM,,VfL Wolfsburg,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Jens Bochert,27.0,Germany,Attacking Midfield,AM,,Rouen,France,,out,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Michael Schröder,32.0,Germany,Defensive Midfield,DM,,Unknown,,,out,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Richard Cyron,27.0,Poland,Centre-Forward,CF,,F. Düsseldorf,Germany,0.0,out,summer,1 Bundesliga,1992,True,free loan,1992
Hamburger SV,Uwe Eckel,25.0,Germany,attack,attack,,VfB Lübeck,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Hamburger SV,Herbert Waas,28.0,Germany,Centre-Forward,CF,,Bologna,Italy,0.0,out,summer,1 Bundesliga,1992,True,end of loan,1992
Karlsruher SC,Manfred Bender,26.0,Germany,Attacking Midfield,AM,,FC Bayern,Germany,700000.0,in,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Sergey Kiryakov,22.0,Russia,Centre-Forward,CF,,Dinamo Moscow,Russia,,in,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Richard Benigno,,,midfield,midfield,,Unknown,,,in,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Markus Gehrig,18.0,Germany,midfield,midfield,,FC Dossenheim,Germany,,in,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Javier Sanchez,19.0,Germany,midfield,midfield,,Unknown,,,in,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Dirk Klinge,26.0,Germany,Defensive Midfield,DM,,Lausanne-Sport,Switzerland,,in,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Mehmet Scholl,21.0,Germany,Attacking Midfield,AM,,FC Bayern,Germany,2500000.0,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Oliver Westerbeek,26.0,Germany,Defensive Midfield,DM,,MSV Duisburg,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Alexander Famulla,31.0,Germany,Goalkeeper,GK,,FC 08 Homburg,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Arno Glesius,26.0,Germany,Centre-Forward,CF,,Saarbrücken,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Michael Harforth,33.0,Germany,Attacking Midfield,AM,,MSV Duisburg,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Guido Streichsbier,22.0,Germany,Attacking Midfield,AM,,1.FC Pforzheim,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Stefan Mees,22.0,Germany,attack,attack,,TB Jahn Zeiskam,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Marc Rapp,21.0,Germany,defence,defence,,VfR Pforzheim,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,André Brückner,26.0,Germany,midfield,midfield,,FK Pirmasens,Germany,,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Peter Reichert,30.0,Germany,Centre-Forward,CF,,Retired,,,out,summer,1 Bundesliga,1992,False,,1992
Karlsruher SC,Christian Flindt Bjerg,18.0,Denmark,Central Midfield,CM,,Aalborg BK,Denmark,,in,winter,1 Bundesliga,1992,False,,1992
SG Dynamo Dresden,Vladan Milovanovic,21.0,Serbia,Centre-Forward,CF,,Napredak,Serbia,0.0,in,summer,1 Bundesliga,1992,False,,1992
SG Dynamo Dresden,Miroslav Stevic,22.0,Serbia,Defensive Midfield,DM,,Grasshoppers,Switzerland,,in,summer,1 Bundesliga,1992,False,,1992
